"","YEAR","ID","RACE","SEX","AGE","SIBS","RES16","FAMILY16","BORN","PARBORN","REALRINC","INCOM16","PAEDUC","MAEDUC","PAPRES105PLUS","MAPRES105PLUS","REALINC","HOMPOP","FINRELA","PRESTG105PLUS","EDUC","RES161","COMTYPE","HPARPRES","HPAREDU","FEMALE","BOTHPAR","WHITE","RES16MID","FIPP","lnREALRINC","lnFIPP","RESNOWBIG"
"1",1989,111,1,2,45,4,6,1,1,0,41746,3,8,12,29,-1,41746,5,2,55,12,NA,NA,29,12,TRUE,1,1,1,8349.2,10.6393589173059,9.02992100487175,NA
"2",1994,1984,1,2,34,4,5,1,1,0,8595,3,12,12,11,-1,8595,1,2,39,16,NA,NA,11,12,TRUE,1,1,1,8595,9.05893591781695,9.05893591781695,NA
"3",2012,187,1,1,56,1,5,1,1,0,49000,4,18,16,89,85,155139.9731,4,4,91,17,NA,NA,89,18,FALSE,1,1,1,38784.993275,10.7995755770928,10.5657886795332,NA
"4",1998,2186,1,2,26,0,4,3,1,0,4478,NA,12,12,59,55,4478,2,3,40,14,NA,NA,59,12,TRUE,0,1,1,2239,8.4069317971587,7.71378461659875,NA
"5",2014,2303,1,2,49,2,6,1,1,0,NA,3,16,16,63,85,2601.5,1,5,87,16,NA,NA,85,16,TRUE,1,1,1,2601.5,NA,7.86384348073036,NA
"6",2012,873,1,1,28,2,3,5,1,0,10412.5,3,-1,16,-1,87,10412.5,1,3,16,13,NA,NA,87,16,FALSE,0,1,0,10412.5,9.2507622864751,9.2507622864751,NA
"7",2006,2174,1,2,23,2,3,1,1,0,12080.625,4,19,16,85,66,12080.625,1,4,16,15,NA,NA,85,19,TRUE,1,1,0,12080.625,9.39935820856102,9.39935820856102,NA
"8",2008,1623,1,1,65,16,1,1,1,0,NA,2,8,4,42,-1,NA,2,3,34,12,NA,NA,42,8,FALSE,1,1,0,NA,NA,NA,NA
"9",1991,165,1,1,63,1,6,1,1,0,13579,3,12,9,28,-1,27158,2,2,61,14,NA,NA,28,12,FALSE,1,1,1,13579,9.5162797606988,9.5162797606988,NA
"10",2016,2436,1,2,20,3,5,5,1,0,NA,3,-1,17,-1,18,NA,2,3,NA,14,NA,NA,18,17,TRUE,0,1,1,NA,NA,NA,NA
"11",2002,2637,1,2,30,2,4,1,1,0,NA,NA,15,12,85,39,13296.125,6,3,22,12,NA,NA,85,15,TRUE,1,1,1,2216.02083333333,NA,7.70346844914669,NA
"12",1982,149,1,1,63,4,6,1,1,8,36167,3,0,0,62,-1,36167,2,3,39,14,NA,NA,62,0,FALSE,1,1,1,18083.5,10.4959023798419,9.80275519928199,NA
"13",1987,946,1,2,35,1,5,1,1,0,37500,3,12,12,63,-1,55000,5,4,42,17,NA,NA,63,12,TRUE,1,1,1,11000,10.5320962119585,9.30565055178051,NA
"14",1987,855,1,2,35,6,4,0,1,0,23750,3,12,9,34,-1,55000,3,3,27,9,NA,NA,34,12,TRUE,0,1,1,18333.3333333333,10.0753378094628,9.8164761755465,NA
"15",1975,410,1,1,32,6,3,3,NA,NA,20011,4,8,9,49,-1,20011,4,3,28,11,NA,NA,49,9,FALSE,0,1,0,5002.75,9.90403740134156,8.51774304022167,NA
"16",1993,869,1,2,55,2,4,1,2,2,16703,3,3,10,58,-1,21615,2,2,33,16,NA,2,58,10,TRUE,1,1,1,10807.5,9.72334362298995,9.28799561654179,1
"17",1975,1610,1,1,60,7,6,1,NA,NA,27793,3,5,-1,44,-1,27793,2,2,27,8,NA,NA,44,5,FALSE,1,1,1,13896.5,10.232539469411,9.53939228885105,NA
"18",1987,949,1,2,28,1,3,1,1,0,NA,4,14,18,42,-1,55000,3,4,55,14,NA,NA,42,18,TRUE,1,1,0,18333.3333333333,NA,9.8164761755465,NA
"19",2018,1729,1,1,52,1,2,1,1,0,5107.5,3,15,12,94,-1,5107.5,1,2,24,14,NA,NA,94,15,FALSE,1,1,0,5107.5,8.53846532669178,8.53846532669178,NA
"20",2012,553,1,2,42,6,3,3,1,0,2695,3,16,14,78,24,10412.5,1,3,82,14,NA,NA,78,16,TRUE,0,1,0,10412.5,7.8991534833431,9.2507622864751,NA
"21",1988,652,1,2,33,2,4,1,1,0,26538,3,14,13,55,-1,53077,4,4,54,15,NA,NA,55,14,TRUE,1,1,1,13269.25,10.1863329470964,9.49320460726633,NA
"22",1996,1458,1,1,67,6,3,1,1,1,NA,NA,8,9,50,-1,17038,1,3,50,13,NA,NA,50,9,FALSE,1,1,0,17038,NA,9.74320142260279,NA
"23",2014,1486,1,1,39,1,5,1,1,0,31927.5,3,14,12,49,11,31927.5,2,3,18,12,NA,NA,49,14,FALSE,1,1,1,15963.75,10.3712229863704,9.67807580581047,NA
"24",1974,1477,1,1,44,2,3,1,NA,NA,43178,2,6,12,49,-1,43178,6,4,62,15,NA,NA,49,12,FALSE,1,1,0,7196.33333333333,10.6730863852564,8.88132691602835,NA
"25",2002,1488,1,1,61,0,3,1,1,0,NA,2,8,12,26,46,NA,1,3,64,19,NA,NA,46,12,FALSE,1,1,0,NA,NA,NA,NA
"26",1988,823,1,2,60,5,4,8,1,1,NA,3,18,-1,89,-1,13269,2,3,29,9,NA,NA,89,18,TRUE,0,1,1,6634.5,NA,8.80003858597649,NA
"27",1983,1165,1,2,31,3,6,1,2,8,18459,3,12,-1,52,-1,34078,3,3,58,13,NA,NA,52,12,TRUE,1,1,1,11359.3333333333,9.8233073354086,9.33779500510708,NA
"28",1989,338,1,2,27,4,4,1,1,0,12756,2,12,12,55,-1,12756,2,3,54,12,NA,NA,55,12,TRUE,1,1,1,6378,9.45375702812995,8.76060984757,NA
"29",2006,93,1,1,44,8,3,1,2,8,15633.75,3,0,6,58,-1,25582.5,6,3,24,10,NA,NA,58,6,FALSE,1,1,0,4263.75,9.65718731786312,8.35790433373286,NA
"30",1987,682,1,1,20,5,3,1,1,0,5500,3,-1,11,34,-1,5500,3,2,34,9,NA,NA,34,11,FALSE,1,1,0,1833.33333333333,8.61250337122056,7.51389108255245,NA
"31",2004,2038,1,2,37,4,3,1,1,0,27171,5,20,12,95,-1,128434.605938,5,4,59,17,NA,NA,95,20,TRUE,1,1,0,25686.9211876,10.2099055070431,10.1537372381419,NA
"32",1996,1352,2,2,33,1,4,3,1,0,19938,NA,12,20,54,64,39875,3,3,85,16,3,NA,64,20,TRUE,0,0,1,13291.6666666667,9.90038273758265,9.49489255141904,NA
"33",1996,1026,1,2,35,3,4,1,1,0,32625,NA,3,14,29,85,32625,1,5,42,12,1,NA,85,14,TRUE,1,1,1,32625,10.392834144625,10.392834144625,NA
"34",1989,394,1,2,43,3,4,1,1,2,5102,4,11,12,69,-1,88133,5,3,26,12,NA,NA,69,12,TRUE,1,1,1,17626.6,8.53738789870176,9.77716440370205,NA
"35",2012,1776,1,1,27,1,1,3,1,0,NA,NA,-1,20,29,16,NA,1,2,NA,11,NA,NA,29,20,FALSE,0,1,0,NA,NA,NA,NA
"36",1988,804,1,1,41,3,3,1,1,0,53077,4,8,14,65,-1,53077,6,4,55,15,NA,NA,65,14,FALSE,1,1,0,8846.16666666667,10.8794989683862,9.08773949915816,NA
"37",2004,1311,1,1,36,2,3,1,1,0,40756.5,2,15,16,19,85,40756.5,2,3,54,16,NA,NA,85,16,FALSE,1,1,0,20378.25,10.6153706151512,9.92222343459128,NA
"38",1998,766,1,1,60,5,3,4,1,0,6201,NA,8,-1,45,-1,46507,1,3,62,11,NA,NA,45,8,FALSE,0,1,0,46507,8.73246584834988,10.7473581178802,NA
"39",2014,88,2,1,41,7,5,1,2,8,31927.5,3,12,12,50,-1,47300,4,3,46,16,NA,NA,50,12,FALSE,1,0,1,11825,10.3712229863704,9.37797121336013,NA
"40",2014,2409,1,2,69,5,3,1,1,0,NA,3,10,12,49,18,17737.5,1,4,55,12,NA,NA,49,12,TRUE,1,1,0,17737.5,NA,9.7834363214683,NA
"41",1986,1003,1,2,45,4,4,3,1,0,NA,3,-1,12,76,-1,56058,2,4,42,12,NA,NA,76,12,TRUE,0,1,1,28029,NA,10.2409949674611,NA
"42",1976,458,2,2,66,10,2,2,NA,NA,NA,2,0,7,58,-1,11205,3,2,14,3,NA,NA,58,7,TRUE,0,0,0,3735,NA,8.22550309756692,NA
"43",1973,717,1,2,59,6,6,2,NA,NA,NA,3,-1,0,29,-1,32761,5,3,38,10,NA,NA,29,0,TRUE,0,1,1,6552.2,NA,8.78755615009755,NA
"44",1994,1311,1,1,63,4,2,1,1,0,NA,1,8,9,24,14,4202,2,2,29,8,NA,NA,24,9,FALSE,1,1,0,2101,NA,7.650168700845,NA
"45",2004,2193,1,1,24,1,3,3,1,0,19623.5,2,12,12,29,22,19623.5,1,NA,35,12,NA,NA,29,12,FALSE,0,1,0,19623.5,9.88448310660843,9.88448310660843,NA
"46",1984,1156,1,1,52,3,2,1,1,0,15132,3,8,8,58,-1,15132,2,2,80,12,NA,NA,58,8,FALSE,1,1,0,7566,9.62456698575292,8.93141980519298,NA
"47",1982,739,1,2,25,3,3,1,1,0,5425,3,14,14,80,-1,16577,4,3,87,12,NA,NA,80,14,TRUE,1,1,0,4144.25,8.59877317840866,8.32947711030497,NA
"48",2008,1306,1,1,32,2,1,3,1,0,36146.25,4,16,14,48,10,36146.25,4,4,91,14,NA,NA,48,16,FALSE,0,1,0,9036.5625,10.4953284877663,9.1090341266464,NA
"49",1983,462,1,2,73,2,4,1,1,0,NA,2,-1,8,44,-1,2272,1,2,27,11,NA,NA,44,8,TRUE,1,1,1,2272,NA,7.72841577984104,NA
"50",2002,904,1,2,19,6,3,5,1,0,2189.95,3,-1,12,-1,55,17206.75,3,NA,16,12,NA,NA,55,12,TRUE,0,1,0,5735.58333333333,7.69163399149969,8.65444473900873,NA
